county,gender,age,year,deaths,pop
"Walla Walla County, WA",Female,65-74 years,2017,50,3044
"Walla Walla County, WA",Female,65-74 years,2018,34,3174
"Walla Walla County, WA",Female,65-74 years,2019,37,3303
"Walla Walla County, WA",Female,75-84 years,2010,73,1773
"Walla Walla County, WA",Female,75-84 years,2011,40,1746
"Walla Walla County, WA",Female,75-84 years,2012,73,1728
"Walla Walla County, WA",Female,75-84 years,2013,57,1713
"Walla Walla County, WA",Female,75-84 years,2014,70,1716
"Walla Walla County, WA",Female,75-84 years,2015,66,1679
"Walla Walla County, WA",Female,75-84 years,2016,71,1677
"Walla Walla County, WA",Female,75-84 years,2017,59,1663
"Walla Walla County, WA",Female,75-84 years,2018,41,1730
"Walla Walla County, WA",Female,75-84 years,2019,57,1805
"Walla Walla County, WA",Female,85+ years,2010,148,1045
"Walla Walla County, WA",Female,85+ years,2011,140,1068
"Walla Walla County, WA",Female,85+ years,2012,134,1062
"Walla Walla County, WA",Female,85+ years,2013,137,1065
"Walla Walla County, WA",Female,85+ years,2014,130,1119
"Walla Walla County, WA",Female,85+ years,2015,155,1136
"Walla Walla County, WA",Female,85+ years,2016,160,1144
"Walla Walla County, WA",Female,85+ years,2017,160,1077
"Walla Walla County, WA",Female,85+ years,2018,139,1075
"Walla Walla County, WA",Female,85+ years,2019,145,1077
"Whatcom County, WA",Female,55-64 years,2010,63,13468
"Whatcom County, WA",Female,55-64 years,2011,54,13907
"Whatcom County, WA",Female,55-64 years,2012,64,13959
"Whatcom County, WA",Female,55-64 years,2013,76,13934
"Whatcom County, WA",Female,55-64 years,2014,65,13980
"Whatcom County, WA",Female,55-64 years,2015,71,14158
"Whatcom County, WA",Female,55-64 years,2016,65,14285
"Whatcom County, WA",Female,55-64 years,2017,83,14500
"Whatcom County, WA",Female,55-64 years,2018,72,14603
"Whatcom County, WA",Female,55-64 years,2019,91,14507
"Whatcom County, WA",Female,65-74 years,2010,81,7474
"Whatcom County, WA",Female,65-74 years,2011,93,7960
"Whatcom County, WA",Female,65-74 years,2012,103,8729
"Whatcom County, WA",Female,65-74 years,2013,111,9316
"Whatcom County, WA",Female,65-74 years,2014,101,9931
"Whatcom County, WA",Female,65-74 years,2015,121,10606
"Whatcom County, WA",Female,65-74 years,2016,143,11476
"Whatcom County, WA",Female,65-74 years,2017,121,12128
"Whatcom County, WA",Female,65-74 years,2018,150,12730
"Whatcom County, WA",Female,65-74 years,2019,141,13467
"Whatcom County, WA",Female,75-84 years,2010,176,4534
"Whatcom County, WA",Female,75-84 years,2011,167,4597
"Whatcom County, WA",Female,75-84 years,2012,192,4611
"Whatcom County, WA",Female,75-84 years,2013,174,4659
"Whatcom County, WA",Female,75-84 years,2014,171,4765
"Whatcom County, WA",Female,75-84 years,2015,184,4888
"Whatcom County, WA",Female,75-84 years,2016,167,5075
"Whatcom County, WA",Female,75-84 years,2017,191,5332
"Whatcom County, WA",Female,75-84 years,2018,165,5738
"Whatcom County, WA",Female,75-84 years,2019,185,6225
"Whatcom County, WA",Female,85+ years,2010,323,2460
"Whatcom County, WA",Female,85+ years,2011,346,2629
"Whatcom County, WA",Female,85+ years,2012,363,2610
"Whatcom County, WA",Female,85+ years,2013,371,2626
"Whatcom County, WA",Female,85+ years,2014,332,2554
"Whatcom County, WA",Female,85+ years,2015,347,2636
"Whatcom County, WA",Female,85+ years,2016,390,2715
"Whatcom County, WA",Female,85+ years,2017,348,2636
"Whatcom County, WA",Female,85+ years,2018,334,2636
"Whatcom County, WA",Female,85+ years,2019,383,2684
"Whitman County, WA",Female,55-64 years,2014,14,1955
"Whitman County, WA",Female,55-64 years,2015,11,2047
"Whitman County, WA",Female,55-64 years,2016,10,2081
"Whitman County, WA",Female,55-64 years,2017,12,2155
"Whitman County, WA",Female,55-64 years,2018,19,2208
"Whitman County, WA",Female,65-74 years,2010,12,1144
"Whitman County, WA",Female,65-74 years,2011,15,1209
"Whitman County, WA",Female,65-74 years,2012,12,1253
"Whitman County, WA",Female,65-74 years,2013,16,1295
"Whitman County, WA",Female,65-74 years,2014,25,1366
"Whitman County, WA",Female,65-74 years,2015,15,1432
"Whitman County, WA",Female,65-74 years,2016,19,1456
"Whitman County, WA",Female,65-74 years,2017,18,1472
"Whitman County, WA",Female,65-74 years,2018,20,1508
"Whitman County, WA",Female,65-74 years,2019,14,1556
"Whitman County, WA",Female,75-84 years,2010,16,707
"Whitman County, WA",Female,75-84 years,2011,26,701
"Whitman County, WA",Female,75-84 years,2012,26,701
"Whitman County, WA",Female,75-84 years,2013,28,719
"Whitman County, WA",Female,75-84 years,2014,20,713
"Whitman County, WA",Female,75-84 years,2015,27,717
"Whitman County, WA",Female,75-84 years,2016,32,754
"Whitman County, WA",Female,75-84 years,2017,45,776
"Whitman County, WA",Female,75-84 years,2018,25,811
"Whitman County, WA",Female,75-84 years,2019,32,861
"Whitman County, WA",Female,85+ years,2010,55,459
"Whitman County, WA",Female,85+ years,2011,68,463
"Whitman County, WA",Female,85+ years,2012,58,452
"Whitman County, WA",Female,85+ years,2013,67,467
"Whitman County, WA",Female,85+ years,2014,62,445
"Whitman County, WA",Female,85+ years,2015,77,434
"Whitman County, WA",Female,85+ years,2016,58,417
"Whitman County, WA",Female,85+ years,2017,56,404
"Whitman County, WA",Female,85+ years,2018,71,411
"Whitman County, WA",Female,85+ years,2019,65,414
"Yakima County, WA",Female,55-64 years,2010,70,12842
"Yakima County, WA",Female,55-64 years,2011,105,13315
"Yakima County, WA",Female,55-64 years,2012,99,13456
"Yakima County, WA",Female,55-64 years,2013,98,13572
"Yakima County, WA",Female,55-64 years,2014,94,13636
"Yakima County, WA",Female,55-64 years,2015,102,13670
"Yakima County, WA",Female,55-64 years,2016,110,13717
"Yakima County, WA",Female,55-64 years,2017,117,13713
"Yakima County, WA",Female,55-64 years,2018,115,13698
"Yakima County, WA",Female,55-64 years,2019,116,13615
"Yakima County, WA",Female,65-74 years,2010,133,7905
"Yakima County, WA",Female,65-74 years,2011,132,8203
"Yakima County, WA",Female,65-74 years,2012,124,8632
"Yakima County, WA",Female,65-74 years,2013,124,8975
"Yakima County, WA",Female,65-74 years,2014,169,9412
"Yakima County, WA",Female,65-74 years,2015,149,9773
"Yakima County, WA",Female,65-74 years,2016,164,9980
"Yakima County, WA",Female,65-74 years,2017,159,10116
"Yakima County, WA",Female,65-74 years,2018,167,10406
"Yakima County, WA",Female,65-74 years,2019,173,10625
"Yakima County, WA",Female,75-84 years,2010,187,4979
"Yakima County, WA",Female,75-84 years,2011,208,5014
"Yakima County, WA",Female,75-84 years,2012,196,4971
"Yakima County, WA",Female,75-84 years,2013,188,5047
"Yakima County, WA",Female,75-84 years,2014,203,5092
"Yakima County, WA",Female,75-84 years,2015,214,5190
"Yakima County, WA",Female,75-84 years,2016,227,5322
"Yakima County, WA",Female,75-84 years,2017,215,5238
"Yakima County, WA",Female,75-84 years,2018,248,5469
"Yakima County, WA",Female,75-84 years,2019,228,5642
"Yakima County, WA",Female,85+ years,2010,358,2670
"Yakima County, WA",Female,85+ years,2011,369,2715
"Yakima County, WA",Female,85+ years,2012,351,2718
"Yakima County, WA",Female,85+ years,2013,378,2711
"Yakima County, WA",Female,85+ years,2014,339,2715
"Yakima County, WA",Female,85+ years,2015,402,2712
"Yakima County, WA",Female,85+ years,2016,364,2762
"Yakima County, WA",Female,85+ years,2017,391,2795
"Yakima County, WA",Female,85+ years,2018,359,2755
"Yakima County, WA",Female,85+ years,2019,352,2694
"Adams County, WA",Male,55-64 years,2013,11,917
"Adams County, WA",Male,55-64 years,2014,11,932
"Adams County, WA",Male,55-64 years,2017,16,915
"Adams County, WA",Male,65-74 years,2010,13,548
"Adams County, WA",Male,65-74 years,2012,13,558
"Adams County, WA",Male,65-74 years,2013,10,547
"Adams County, WA",Male,65-74 years,2015,22,569
"Adams County, WA",Male,65-74 years,2016,19,598
"Adams County, WA",Male,65-74 years,2017,12,638
"Adams County, WA",Male,65-74 years,2018,15,672
"Adams County, WA",Male,65-74 years,2019,13,685
"Adams County, WA",Male,75-84 years,2010,22,289
"Adams County, WA",Male,75-84 years,2011,13,291
"Adams County, WA",Male,75-84 years,2012,16,280
"Adams County, WA",Male,75-84 years,2013,16,261
"Adams County, WA",Male,75-84 years,2014,17,258
"Adams County, WA",Male,75-84 years,2015,18,274
"Adams County, WA",Male,75-84 years,2016,12,266
"Adams County, WA",Male,75-84 years,2017,16,278
"Adams County, WA",Male,75-84 years,2018,13,287
"Adams County, WA",Male,75-84 years,2019,16,310
"Adams County, WA",Male,85+ years,2010,12,89
"Adams County, WA",Male,85+ years,2011,13,93
"Adams County, WA",Male,85+ years,2012,13,92
"Adams County, WA",Male,85+ years,2013,17,101
"Adams County, WA",Male,85+ years,2014,19,114
"Adams County, WA",Male,85+ years,2015,18,107
"Adams County, WA",Male,85+ years,2016,13,111
"Adams County, WA",Male,85+ years,2017,10,106
"Adams County, WA",Male,85+ years,2018,11,110
"Adams County, WA",Male,85+ years,2019,25,112
"Asotin County, WA",Male,55-64 years,2010,12,1502
"Asotin County, WA",Male,55-64 years,2011,11,1566
"Asotin County, WA",Male,55-64 years,2012,16,1578
"Asotin County, WA",Male,55-64 years,2013,16,1596
"Asotin County, WA",Male,55-64 years,2015,18,1648
"Asotin County, WA",Male,55-64 years,2016,17,1666
"Asotin County, WA",Male,55-64 years,2017,16,1654
"Asotin County, WA",Male,55-64 years,2018,12,1649
"Asotin County, WA",Male,55-64 years,2019,24,1644
"Asotin County, WA",Male,65-74 years,2010,24,1138
"Asotin County, WA",Male,65-74 years,2011,20,1136
"Asotin County, WA",Male,65-74 years,2012,27,1160
"Asotin County, WA",Male,65-74 years,2013,26,1190
"Asotin County, WA",Male,65-74 years,2014,30,1224
"Asotin County, WA",Male,65-74 years,2015,32,1248
"Asotin County, WA",Male,65-74 years,2016,37,1299
"Asotin County, WA",Male,65-74 years,2017,29,1367
"Asotin County, WA",Male,65-74 years,2018,33,1388
"Asotin County, WA",Male,65-74 years,2019,27,1429
"Asotin County, WA",Male,75-84 years,2010,24,598
"Asotin County, WA",Male,75-84 years,2011,42,628
"Asotin County, WA",Male,75-84 years,2012,39,637
"Asotin County, WA",Male,75-84 years,2013,27,665
"Asotin County, WA",Male,75-84 years,2014,39,694
"Asotin County, WA",Male,75-84 years,2015,47,718
"Asotin County, WA",Male,75-84 years,2016,35,721
"Asotin County, WA",Male,75-84 years,2017,43,758
"Asotin County, WA",Male,75-84 years,2018,40,816
"Asotin County, WA",Male,75-84 years,2019,48,841
"Asotin County, WA",Male,85+ years,2010,26,182
"Asotin County, WA",Male,85+ years,2011,18,209
"Asotin County, WA",Male,85+ years,2012,31,222
"Asotin County, WA",Male,85+ years,2013,32,228
"Asotin County, WA",Male,85+ years,2014,25,249
"Asotin County, WA",Male,85+ years,2015,49,253
"Asotin County, WA",Male,85+ years,2016,34,270
"Asotin County, WA",Male,85+ years,2017,28,273
"Asotin County, WA",Male,85+ years,2018,32,287
"Asotin County, WA",Male,85+ years,2019,34,307
"Benton County, WA",Male,55-64 years,2010,98,10771
"Benton County, WA",Male,55-64 years,2011,96,11488
"Benton County, WA",Male,55-64 years,2012,99,11579
"Benton County, WA",Male,55-64 years,2013,94,11684
"Benton County, WA",Male,55-64 years,2014,100,11851
"Benton County, WA",Male,55-64 years,2015,114,11967
"Benton County, WA",Male,55-64 years,2016,119,12103
"Benton County, WA",Male,55-64 years,2017,114,12138
"Benton County, WA",Male,55-64 years,2018,104,12128
"Benton County, WA",Male,55-64 years,2019,112,12167
"Benton County, WA",Male,65-74 years,2010,128,5613
"Benton County, WA",Male,65-74 years,2011,116,5942
"Benton County, WA",Male,65-74 years,2012,127,6412
"Benton County, WA",Male,65-74 years,2013,113,6867
"Benton County, WA",Male,65-74 years,2014,135,7324
"Benton County, WA",Male,65-74 years,2015,144,7723
"Benton County, WA",Male,65-74 years,2016,133,8162
"Benton County, WA",Male,65-74 years,2017,147,8545
"Benton County, WA",Male,65-74 years,2018,163,8863
"Benton County, WA",Male,65-74 years,2019,156,9195
"Benton County, WA",Male,75-84 years,2010,164,2732
"Benton County, WA",Male,75-84 years,2011,176,2843
"Benton County, WA",Male,75-84 years,2012,130,2912
"Benton County, WA",Male,75-84 years,2013,143,3024
"Benton County, WA",Male,75-84 years,2014,170,3186
"Benton County, WA",Male,75-84 years,2015,174,3349
"Benton County, WA",Male,75-84 years,2016,160,3494
"Benton County, WA",Male,75-84 years,2017,178,3636
"Benton County, WA",Male,75-84 years,2018,193,3964
"Benton County, WA",Male,75-84 years,2019,206,4226
"Benton County, WA",Male,85+ years,2010,151,940
"Benton County, WA",Male,85+ years,2011,141,990
"Benton County, WA",Male,85+ years,2012,153,1011
"Benton County, WA",Male,85+ years,2013,174,1056
"Benton County, WA",Male,85+ years,2014,175,1104
"Benton County, WA",Male,85+ years,2015,221,1143
"Benton County, WA",Male,85+ years,2016,189,1193
"Benton County, WA",Male,85+ years,2017,210,1201
"Benton County, WA",Male,85+ years,2018,199,1228
"Benton County, WA",Male,85+ years,2019,198,1243
"Chelan County, WA",Male,55-64 years,2010,47,4832
"Chelan County, WA",Male,55-64 years,2011,40,4997
"Chelan County, WA",Male,55-64 years,2012,49,5037
"Chelan County, WA",Male,55-64 years,2013,55,5094
"Chelan County, WA",Male,55-64 years,2014,49,5165
"Chelan County, WA",Male,55-64 years,2015,47,5197
"Chelan County, WA",Male,55-64 years,2016,41,5231
"Chelan County, WA",Male,55-64 years,2017,38,5237
"Chelan County, WA",Male,55-64 years,2018,46,5235
"Chelan County, WA",Male,55-64 years,2019,43,5177
"Chelan County, WA",Male,65-74 years,2010,51,2860
"Chelan County, WA",Male,65-74 years,2011,48,2994
"Chelan County, WA",Male,65-74 years,2012,45,3166
"Chelan County, WA",Male,65-74 years,2013,79,3365
"Chelan County, WA",Male,65-74 years,2014,66,3593
"Chelan County, WA",Male,65-74 years,2015,63,3789
"Chelan County, WA",Male,65-74 years,2016,67,4024
"Chelan County, WA",Male,65-74 years,2017,78,4113
"Chelan County, WA",Male,65-74 years,2018,71,4282
"Chelan County, WA",Male,65-74 years,2019,89,4429
"Chelan County, WA",Male,75-84 years,2010,63,1585
"Chelan County, WA",Male,75-84 years,2011,98,1650
"Chelan County, WA",Male,75-84 years,2012,91,1684
"Chelan County, WA",Male,75-84 years,2013,80,1726
"Chelan County, WA",Male,75-84 years,2014,97,1780
"Chelan County, WA",Male,75-84 years,2015,92,1839
"Chelan County, WA",Male,75-84 years,2016,81,1900
"Chelan County, WA",Male,75-84 years,2017,90,1861
"Chelan County, WA",Male,75-84 years,2018,92,1960
"Chelan County, WA",Male,75-84 years,2019,99,2015
"Chelan County, WA",Male,85+ years,2010,80,670
"Chelan County, WA",Male,85+ years,2011,95,686
"Chelan County, WA",Male,85+ years,2012,94,702
"Chelan County, WA",Male,85+ years,2013,118,716
"Chelan County, WA",Male,85+ years,2014,129,717
"Chelan County, WA",Male,85+ years,2015,126,694
"Chelan County, WA",Male,85+ years,2016,97,681
"Chelan County, WA",Male,85+ years,2017,99,650
"Chelan County, WA",Male,85+ years,2018,93,688
"Chelan County, WA",Male,85+ years,2019,125,707
"Clallam County, WA",Male,55-64 years,2010,57,5678
"Clallam County, WA",Male,55-64 years,2011,53,5831
"Clallam County, WA",Male,55-64 years,2012,63,5766
"Clallam County, WA",Male,55-64 years,2013,69,5737
"Clallam County, WA",Male,55-64 years,2014,75,5786
"Clallam County, WA",Male,55-64 years,2015,60,5756
"Clallam County, WA",Male,55-64 years,2016,62,5854
"Clallam County, WA",Male,55-64 years,2017,63,5786
"Clallam County, WA",Male,55-64 years,2018,70,5807
"Clallam County, WA",Male,55-64 years,2019,71,5762
"Clallam County, WA",Male,65-74 years,2010,86,4510
"Clallam County, WA",Male,65-74 years,2011,86,4614
"Clallam County, WA",Male,65-74 years,2012,85,4829
"Clallam County, WA",Male,65-74 years,2013,90,5036
"Clallam County, WA",Male,65-74 years,2014,103,5309
"Clallam County, WA",Male,65-74 years,2015,98,5581
"Clallam County, WA",Male,65-74 years,2016,106,5854
"Clallam County, WA",Male,65-74 years,2017,116,6033
"Clallam County, WA",Male,65-74 years,2018,123,6214
"Clallam County, WA",Male,65-74 years,2019,128,6410
"Clallam County, WA",Male,75-84 years,2010,145,2551
"Clallam County, WA",Male,75-84 years,2011,135,2615
"Clallam County, WA",Male,75-84 years,2012,135,2652
"Clallam County, WA",Male,75-84 years,2013,102,2676
"Clallam County, WA",Male,75-84 years,2014,130,2770
"Clallam County, WA",Male,75-84 years,2015,125,2903
"Clallam County, WA",Male,75-84 years,2016,124,2999
"Clallam County, WA",Male,75-84 years,2017,134,3084
"Clallam County, WA",Male,75-84 years,2018,153,3329
"Clallam County, WA",Male,75-84 years,2019,151,3498
"Clallam County, WA",Male,85+ years,2010,128,953
"Clallam County, WA",Male,85+ years,2011,149,1000
"Clallam County, WA",Male,85+ years,2012,148,1034
"Clallam County, WA",Male,85+ years,2013,165,1043
"Clallam County, WA",Male,85+ years,2014,160,1084
"Clallam County, WA",Male,85+ years,2015,152,1061
"Clallam County, WA",Male,85+ years,2016,169,1037
"Clallam County, WA",Male,85+ years,2017,167,1060
"Clallam County, WA",Male,85+ years,2018,183,1057
"Clallam County, WA",Male,85+ years,2019,199,1086
"Clark County, WA",Male,55-64 years,2010,235,25216
"Clark County, WA",Male,55-64 years,2011,228,26371
"Clark County, WA",Male,55-64 years,2012,223,26775
"Clark County, WA",Male,55-64 years,2013,270,27202
"Clark County, WA",Male,55-64 years,2014,290,27866
"Clark County, WA",Male,55-64 years,2015,273,28420
"Clark County, WA",Male,55-64 years,2016,239,29190
"Clark County, WA",Male,55-64 years,2017,255,29786
"Clark County, WA",Male,55-64 years,2018,253,30005
"Clark County, WA",Male,55-64 years,2019,283,30279
"Clark County, WA",Male,65-74 years,2010,235,13582
"Clark County, WA",Male,65-74 years,2011,305,14766
"Clark County, WA",Male,65-74 years,2012,280,16064
"Clark County, WA",Male,65-74 years,2013,324,17249
"Clark County, WA",Male,65-74 years,2014,330,18396
"Clark County, WA",Male,65-74 years,2015,404,19515
"Clark County, WA",Male,65-74 years,2016,376,20470
"Clark County, WA",Male,65-74 years,2017,405,21047
"Clark County, WA",Male,65-74 years,2018,400,21925
"Clark County, WA",Male,65-74 years,2019,445,22775
"Clark County, WA",Male,75-84 years,2010,336,6109
"Clark County, WA",Male,75-84 years,2011,366,6368
"Clark County, WA",Male,75-84 years,2012,328,6608
"Clark County, WA",Male,75-84 years,2013,351,6981
"Clark County, WA",Male,75-84 years,2014,425,7399
"Clark County, WA",Male,75-84 years,2015,411,7785
"Clark County, WA",Male,75-84 years,2016,415,8298
"Clark County, WA",Male,75-84 years,2017,409,8609
"Clark County, WA",Male,75-84 years,2018,486,9277
"Clark County, WA",Male,75-84 years,2019,520,9855
"Clark County, WA",Male,85+ years,2010,350,2152
"Clark County, WA",Male,85+ years,2011,373,2291
"Clark County, WA",Male,85+ years,2012,376,2352
"Clark County, WA",Male,85+ years,2013,407,2408
"Clark County, WA",Male,85+ years,2014,365,2545
"Clark County, WA",Male,85+ years,2015,420,2588
"Clark County, WA",Male,85+ years,2016,465,2636
"Clark County, WA",Male,85+ years,2017,411,2654
"Clark County, WA",Male,85+ years,2018,438,2716
"Clark County, WA",Male,85+ years,2019,477,2799
"Columbia County, WA",Male,65-74 years,2014,15,302
"Columbia County, WA",Male,65-74 years,2015,17,305
"Columbia County, WA",Male,65-74 years,2019,11,305
"Columbia County, WA",Male,75-84 years,2019,11,184
"Columbia County, WA",Male,85+ years,2010,11,54
"Columbia County, WA",Male,85+ years,2016,13,59
"Cowlitz County, WA",Male,55-64 years,2010,81,6985
"Cowlitz County, WA",Male,55-64 years,2011,76,7182
"Cowlitz County, WA",Male,55-64 years,2012,94,7208
"Cowlitz County, WA",Male,55-64 years,2013,95,7242
"Cowlitz County, WA",Male,55-64 years,2014,93,7291
"Cowlitz County, WA",Male,55-64 years,2015,80,7458
"Cowlitz County, WA",Male,55-64 years,2016,105,7564
"Cowlitz County, WA",Male,55-64 years,2017,115,7677
"Cowlitz County, WA",Male,55-64 years,2018,118,7660
"Cowlitz County, WA",Male,55-64 years,2019,99,7656
"Cowlitz County, WA",Male,65-74 years,2010,104,4317
"Cowlitz County, WA",Male,65-74 years,2011,120,4544
"Cowlitz County, WA",Male,65-74 years,2012,111,4957
"Cowlitz County, WA",Male,65-74 years,2013,123,5269
"Cowlitz County, WA",Male,65-74 years,2014,123,5420
"Cowlitz County, WA",Male,65-74 years,2015,150,5567
"Cowlitz County, WA",Male,65-74 years,2016,135,5757
"Cowlitz County, WA",Male,65-74 years,2017,152,5770
"Cowlitz County, WA",Male,65-74 years,2018,131,5943
"Cowlitz County, WA",Male,65-74 years,2019,164,6158
"Cowlitz County, WA",Male,75-84 years,2010,127,2143
"Cowlitz County, WA",Male,75-84 years,2011,122,2148
"Cowlitz County, WA",Male,75-84 years,2012,137,2178
"Cowlitz County, WA",Male,75-84 years,2013,127,2238
"Cowlitz County, WA",Male,75-84 years,2014,140,2313
"Cowlitz County, WA",Male,75-84 years,2015,135,2463
"Cowlitz County, WA",Male,75-84 years,2016,134,2565
"Cowlitz County, WA",Male,75-84 years,2017,145,2684
"Cowlitz County, WA",Male,75-84 years,2018,149,2841
"Cowlitz County, WA",Male,75-84 years,2019,171,2973
"Cowlitz County, WA",Male,85+ years,2010,125,743
"Cowlitz County, WA",Male,85+ years,2011,114,821
"Cowlitz County, WA",Male,85+ years,2012,120,846
"Cowlitz County, WA",Male,85+ years,2013,137,857
"Cowlitz County, WA",Male,85+ years,2014,145,884
"Cowlitz County, WA",Male,85+ years,2015,142,877
"Cowlitz County, WA",Male,85+ years,2016,135,888
"Cowlitz County, WA",Male,85+ years,2017,152,832
"Cowlitz County, WA",Male,85+ years,2018,125,839
"Cowlitz County, WA",Male,85+ years,2019,139,845
"Douglas County, WA",Male,55-64 years,2010,21,2305
"Douglas County, WA",Male,55-64 years,2011,18,2484
"Douglas County, WA",Male,55-64 years,2012,21,2508
"Douglas County, WA",Male,55-64 years,2013,15,2496
"Douglas County, WA",Male,55-64 years,2014,27,2519
"Douglas County, WA",Male,55-64 years,2015,27,2577
"Douglas County, WA",Male,55-64 years,2016,16,2597
"Douglas County, WA",Male,55-64 years,2017,27,2676
"Douglas County, WA",Male,55-64 years,2018,14,2723
"Douglas County, WA",Male,55-64 years,2019,26,2709
"Douglas County, WA",Male,65-74 years,2010,36,1509
"Douglas County, WA",Male,65-74 years,2011,24,1549
"Douglas County, WA",Male,65-74 years,2012,29,1663
"Douglas County, WA",Male,65-74 years,2013,28,1750
"Douglas County, WA",Male,65-74 years,2014,28,1866
"Douglas County, WA",Male,65-74 years,2015,45,1953
"Douglas County, WA",Male,65-74 years,2016,34,2020
"Douglas County, WA",Male,65-74 years,2017,32,2009
"Douglas County, WA",Male,65-74 years,2018,43,2039
"Douglas County, WA",Male,65-74 years,2019,38,2116
"Douglas County, WA",Male,75-84 years,2010,39,785
"Douglas County, WA",Male,75-84 years,2011,51,811
"Douglas County, WA",Male,75-84 years,2012,41,828
"Douglas County, WA",Male,75-84 years,2013,38,853
"Douglas County, WA",Male,75-84 years,2014,48,883
"Douglas County, WA",Male,75-84 years,2015,43,932
"Douglas County, WA",Male,75-84 years,2016,41,981
"Douglas County, WA",Male,75-84 years,2017,52,1072
"Douglas County, WA",Male,75-84 years,2018,39,1165
"Douglas County, WA",Male,75-84 years,2019,44,1217
"Douglas County, WA",Male,85+ years,2010,43,247
"Douglas County, WA",Male,85+ years,2011,36,264
"Douglas County, WA",Male,85+ years,2012,55,257
"Douglas County, WA",Male,85+ years,2013,53,257
"Douglas County, WA",Male,85+ years,2014,46,254
"Douglas County, WA",Male,85+ years,2015,36,284
"Douglas County, WA",Male,85+ years,2016,42,276
"Douglas County, WA",Male,85+ years,2017,40,285
"Douglas County, WA",Male,85+ years,2018,34,312
"Douglas County, WA",Male,85+ years,2019,56,340
"Ferry County, WA",Male,55-64 years,2012,10,761
"Ferry County, WA",Male,55-64 years,2018,10,634
"Ferry County, WA",Male,65-74 years,2012,11,546
"Ferry County, WA",Male,65-74 years,2013,19,573
"Ferry County, WA",Male,65-74 years,2016,12,651
"Ferry County, WA",Male,65-74 years,2018,14,682
"Ferry County, WA",Male,65-74 years,2019,15,704
"Ferry County, WA",Male,75-84 years,2011,15,209
"Ferry County, WA",Male,75-84 years,2013,10,237
"Ferry County, WA",Male,75-84 years,2014,14,241
"Ferry County, WA",Male,75-84 years,2016,14,278
"Ferry County, WA",Male,75-84 years,2017,17,298
"Ferry County, WA",Male,75-84 years,2019,14,334
"Ferry County, WA",Male,85+ years,2010,15,49
"Ferry County, WA",Male,85+ years,2011,13,49
"Ferry County, WA",Male,85+ years,2016,12,47
"Franklin County, WA",Male,55-64 years,2010,31,3415
"Franklin County, WA",Male,55-64 years,2011,25,3711
"Franklin County, WA",Male,55-64 years,2012,37,3818
"Franklin County, WA",Male,55-64 years,2013,37,3963
"Franklin County, WA",Male,55-64 years,2014,26,4119
"Franklin County, WA",Male,55-64 years,2015,31,4251
"Franklin County, WA",Male,55-64 years,2016,36,4158
"Franklin County, WA",Male,55-64 years,2017,34,4257
"Franklin County, WA",Male,55-64 years,2018,44,4342
"Franklin County, WA",Male,55-64 years,2019,38,4291
"Franklin County, WA",Male,65-74 years,2010,28,1649
"Franklin County, WA",Male,65-74 years,2011,39,1798
"Franklin County, WA",Male,65-74 years,2012,35,1902
"Franklin County, WA",Male,65-74 years,2013,33,2021
"Franklin County, WA",Male,65-74 years,2014,40,2120
"Franklin County, WA",Male,65-74 years,2015,37,2302
"Franklin County, WA",Male,65-74 years,2016,39,2428
"Franklin County, WA",Male,65-74 years,2017,52,2606
"Franklin County, WA",Male,65-74 years,2018,46,2756
"Franklin County, WA",Male,65-74 years,2019,57,2979
"Franklin County, WA",Male,75-84 years,2010,39,793
"Franklin County, WA",Male,75-84 years,2011,55,826
"Franklin County, WA",Male,75-84 years,2012,48,830
"Franklin County, WA",Male,75-84 years,2013,31,863
"Franklin County, WA",Male,75-84 years,2014,42,886
"Franklin County, WA",Male,75-84 years,2015,51,921
"Franklin County, WA",Male,75-84 years,2016,44,949
"Franklin County, WA",Male,75-84 years,2017,50,989
"Franklin County, WA",Male,75-84 years,2018,57,1090
"Franklin County, WA",Male,75-84 years,2019,50,1118
"Franklin County, WA",Male,85+ years,2010,44,265
"Franklin County, WA",Male,85+ years,2011,41,276
"Franklin County, WA",Male,85+ years,2012,34,255
"Franklin County, WA",Male,85+ years,2013,40,262
"Franklin County, WA",Male,85+ years,2014,51,277
"Franklin County, WA",Male,85+ years,2015,44,295
"Franklin County, WA",Male,85+ years,2016,31,298
"Franklin County, WA",Male,85+ years,2017,43,308
"Franklin County, WA",Male,85+ years,2018,37,316
"Franklin County, WA",Male,85+ years,2019,60,318
"Garfield County, WA",Male,85+ years,2018,10,35
"Grant County, WA",Male,55-64 years,2010,52,4639
"Grant County, WA",Male,55-64 years,2011,41,4832
"Grant County, WA",Male,55-64 years,2012,65,4906
"Grant County, WA",Male,55-64 years,2013,51,4960
"Grant County, WA",Male,55-64 years,2014,56,5115
"Grant County, WA",Male,55-64 years,2015,55,5199
"Grant County, WA",Male,55-64 years,2016,56,5275
"Grant County, WA",Male,55-64 years,2017,59,5377
"Grant County, WA",Male,55-64 years,2018,56,5531
"Grant County, WA",Male,55-64 years,2019,57,5581
"Grant County, WA",Male,65-74 years,2010,65,2934
"Grant County, WA",Male,65-74 years,2011,73,3105
"Grant County, WA",Male,65-74 years,2012,65,3244
"Grant County, WA",Male,65-74 years,2013,71,3404
"Grant County, WA",Male,65-74 years,2014,74,3474
"Grant County, WA",Male,65-74 years,2015,81,3611
